id,created_time,author,content
2671711289,2022-09-13 14:24:43,夏天的葡萄,
2671711289_10285454105,2022-09-13 18:55:15,知乎用户,他只是说出了土木的现实，真正黄了的原因还是地产行业出问题了
2671711289_10285009730,2022-09-13 15:27:32,不要辣的,今年大猛子了给各位一个名校的机会[doge]能不能争取就靠自己了[doge]
2671711289_10284712777,2022-09-13 15:26:13,你嫣然一笑如含苞待放,就他搞黄了同济的土木吗
2671711289_10285092321,2022-09-13 15:04:28,知乎用户,西伯利亚的冬天和海南岛的冬天[飙泪笑]
2671711289_10285092321_10284959226,2022-09-13 20:02:24,Cheater,[吃瓜]
2671711289_10285092321_10285401457,2022-09-13 23:24:29,不要辣的,太阳上的冬天和海王星上的夏天[doge]
2671711289_10284594278,2022-09-13 16:16:46,Gao,不止建筑，国企都这样[大笑][大笑]
2671711289_10284594278_10286973812,2022-09-14 15:25:41,JHack,[大哭][大哭]
2671711289_10285665874,2022-09-13 22:41:03,Hello 武先生,大猛子不是被招安了吗？
2671711289_10285665874_10286431780,2022-09-14 00:09:00,知乎用户,还在坚持“擦边”
2671711289_10285665874_10285140353,2022-09-14 02:12:07,雪海无疆,怎么回事
2671711289_10285212099,2022-09-13 14:31:54,恭叔丶,[大笑]
2671711289_10285401714,2022-09-13 23:35:59,封都,工地大家庭，谁来都欢迎[doge]
2671711289_10286513959,2022-09-14 23:23:42,CODspielen,我做的图广为流传了[惊喜]
2671711289_10286513959_10287457166,2022-09-15 09:00:48,故隼,机械转算法，猛啊
2671711289_10285756252,2022-09-14 01:01:19,山山没钱,哈哈哈 大半夜笑死我了
2671711289_10286305823,2022-09-14 19:41:42,电子科大罗辑哥,@CODspielen [惊喜]
2671711289_10286436806,2022-09-14 09:01:32,知乎用户,真来你工地你得叫我大哥-.-
2671711289_10285522439,2022-09-14 00:32:45,浑浑噩噩过一生吗,这是哪一集？
2671711289_10286177523,2022-09-14 16:04:41,台风,[好奇]92谁去他那？
2671711289_10286177523_10286769824,2022-09-14 17:04:44,JaroventMR,土木专业还能咋找专业对口的就业
2671711289_10286177523_10286713409,2022-09-14 18:23:58,台风,[好奇]设计院，咨询，各种国企私企的土建岗不都可以去么？二本不过卷只能滚去中铁中建，92还卷不进了呗？真当只能去地产和施工呀
